;
; MOS Technology 6502 registers
;
; layout
; <name>,<value>,<stdname>,<stabidx>,<dwarfidx>
RZB149,$0101009b,rzb149,-1,-1
RZB150,$0101009c,rzb150,-1,-1
RZB151,$0101009d,rzb151,-1,-1
RZB152,$0101009e,rzb152,-1,-1
RZB153,$0101009f,rzb153,-1,-1
RZB154,$010100a0,rzb154,-1,-1
RZB155,$010100a1,rzb155,-1,-1
RZB156,$010100a2,rzb156,-1,-1
RZB157,$010100a3,rzb157,-1,-1
RZB158,$010100a4,rzb158,-1,-1
RZB159,$010100a5,rzb159,-1,-1
RZB160,$010100a6,rzb160,-1,-1
RZB161,$010100a7,rzb161,-1,-1
RZB162,$010100a8,rzb162,-1,-1
RZB163,$010100a9,rzb163,-1,-1
RZB164,$010100aa,rzb164,-1,-1
RZB165,$010100ab,rzb165,-1,-1
RZB166,$010100ac,rzb166,-1,-1
RZB167,$010100ad,rzb167,-1,-1
RZB168,$010100ae,rzb168,-1,-1
RZB169,$010100af,rzb169,-1,-1
RZB170,$010100b0,rzb170,-1,-1
RZB171,$010100b1,rzb171,-1,-1
RZB172,$010100b2,rzb172,-1,-1
RZB173,$010100b3,rzb173,-1,-1
RZB174,$010100b4,rzb174,-1,-1
RZB175,$010100b5,rzb175,-1,-1
RZB176,$010100b6,rzb176,-1,-1
RZB177,$010100b7,rzb177,-1,-1
RZB178,$010100b8,rzb178,-1,-1
RZB179,$010100b9,rzb179,-1,-1
RZB180,$010100ba,rzb180,-1,-1
RZB181,$010100bb,rzb181,-1,-1
RZB182,$010100bc,rzb182,-1,-1
RZB183,$010100bd,rzb183,-1,-1
RZB184,$010100be,rzb184,-1,-1
RZB185,$010100bf,rzb185,-1,-1
RZB186,$010100c0,rzb186,-1,-1
RZB187,$010100c1,rzb187,-1,-1
RZB188,$010100c2,rzb188,-1,-1
RZB189,$010100c3,rzb189,-1,-1
RZB190,$010100c4,rzb190,-1,-1
RZB191,$010100c5,rzb191,-1,-1
RZB192,$010100c6,rzb192,-1,-1
RZB193,$010100c7,rzb193,-1,-1
RZB194,$010100c8,rzb194,-1,-1
RZB195,$010100c9,rzb195,-1,-1
RZB196,$010100ca,rzb196,-1,-1
RZB197,$010100cb,rzb197,-1,-1
RZB198,$010100cc,rzb198,-1,-1
RZB199,$010100cd,rzb199,-1,-1
RZB200,$010100ce,rzb200,-1,-1
RZB201,$010100cf,rzb201,-1,-1
RZB202,$010100d0,rzb202,-1,-1
RZB203,$010100d1,rzb203,-1,-1
RZB204,$010100d2,rzb204,-1,-1
RZB205,$010100d3,rzb205,-1,-1
RZB206,$010100d4,rzb206,-1,-1
RZB207,$010100d5,rzb207,-1,-1
RZB208,$010100d6,rzb208,-1,-1
RZB209,$010100d7,rzb209,-1,-1
RZB210,$010100d8,rzb210,-1,-1
RZB211,$010100d9,rzb211,-1,-1
RZB212,$010100da,rzb212,-1,-1
RZB213,$010100db,rzb213,-1,-1
RZB214,$010100dc,rzb214,-1,-1
RZB215,$010100dd,rzb215,-1,-1
RZB216,$010100de,rzb216,-1,-1
RZB217,$010100df,rzb217,-1,-1
RZB218,$010100e0,rzb218,-1,-1
RZB219,$010100e1,rzb219,-1,-1
RZB220,$010100e2,rzb220,-1,-1
RZB221,$010100e3,rzb221,-1,-1
RZB222,$010100e4,rzb222,-1,-1
RZB223,$010100e5,rzb223,-1,-1
RZB224,$010100e6,rzb224,-1,-1
RZB225,$010100e7,rzb225,-1,-1
RZB226,$010100e8,rzb226,-1,-1
RZB227,$010100e9,rzb227,-1,-1
RZB228,$010100ea,rzb228,-1,-1
RZB229,$010100eb,rzb229,-1,-1
RZB230,$010100ec,rzb230,-1,-1
RZB231,$010100ed,rzb231,-1,-1
RZB232,$010100ee,rzb232,-1,-1
RZB233,$010100ef,rzb233,-1,-1
RZB234,$010100f0,rzb234,-1,-1
RZB235,$010100f1,rzb235,-1,-1
RZB236,$010100f2,rzb236,-1,-1
RZB237,$010100f3,rzb237,-1,-1
RZB238,$010100f4,rzb238,-1,-1
RZB239,$010100f5,rzb239,-1,-1
RZB240,$010100f6,rzb240,-1,-1
RZB241,$010100f7,rzb241,-1,-1
RZB242,$010100f8,rzb242,-1,-1
RZB243,$010100f9,rzb243,-1,-1
RZB244,$010100fa,rzb244,-1,-1
RZB245,$010100fb,rzb245,-1,-1
RZB246,$010100fc,rzb246,-1,-1
RZB247,$010100fd,rzb247,-1,-1
RZB248,$010100fe,rzb248,-1,-1
RZB249,$010100ff,rzb249,-1,-1
RZB250,$01010100,rzb250,-1,-1
RZB251,$01010101,rzb251,-1,-1
RZB252,$01010102,rzb252,-1,-1
RZB253,$01010103,rzb253,-1,-1
RZB254,$01010104,rzb254,-1,-1
RZB255,$01010105,rzb255,-1,-1

; Zero page memory locations as 16-bit virtual registers
RZW0,$01030106,rzw0,-1,-1
RZW0L,$01010106,rzw0l,-1,-1
RZW0H,$01020106,rzw0h,-1,-1
RZW1,$01030107,rzw1,-1,-1
RZW1L,$01010107,rzw1l,-1,-1
RZW1H,$01020107,rzw1h,-1,-1
RZW2,$01030108,rzw2,-1,-1
RZW2L,$01010108,rzw2l,-1,-1
RZW2H,$01020108,rzw2h,-1,-1
RZW3,$01030109,rzw3,-1,-1
RZW3L,$01010109,rzw3l,-1,-1
RZW3H,$01020109,rzw3h,-1,-1
RZW4,$0103010a,rzw4,-1,-1
RZW4L,$0101010a,rzw4l,-1,-1
RZW4H,$0102010a,rzw4h,-1,-1
RZW5,$0103010b,rzw5,-1,-1
RZW5L,$0101010b,rzw5l,-1,-1
RZW5H,$0102010b,rzw5h,-1,-1
RZW6,$0103010c,rzw6,-1,-1
RZW6L,$0101010c,rzw6l,-1,-1
RZW6H,$0102010c,rzw6h,-1,-1
RZW7,$0103010d,rzw7,-1,-1
RZW7L,$0101010d,rzw7l,-1,-1
RZW7H,$0102010d,rzw7h,-1,-1
RZW8,$0103010e,rzw8,-1,-1
RZW8L,$0101010e,rzw8l,-1,-1
RZW8H,$0102010e,rzw8h,-1,-1
RZW9,$0103010f,rzw9,-1,-1
RZW9L,$0101010f,rzw9l,-1,-1
RZW9H,$0102010f,rzw9h,-1,-1
RZW10,$01030110,rzw10,-1,-1
RZW10L,$01010110,rzw10l,-1,-1
RZW10H,$01020110,rzw10h,-1,-1
RZW11,$01030111,rzw11,-1,-1
RZW11L,$01010111,rzw11l,-1,-1
RZW11H,$01020111,rzw11h,-1,-1
RZW12,$01030112,rzw12,-1,-1
RZW12L,$01010112,rzw12l,-1,-1
RZW12H,$01020112,rzw12h,-1,-1
RZW13,$01030113,rzw13,-1,-1
RZW13L,$01010113,rzw13l,-1,-1
RZW13H,$01020113,rzw13h,-1,-1
RZW14,$01030114,rzw14,-1,-1
RZW14L,$01010114,rzw14l,-1,-1
RZW14H,$01020114,rzw14h,-1,-1
RZW15,$01030115,rzw15,-1,-1
RZW15L,$01010115,rzw15l,-1,-1
RZW15H,$01020115,rzw15h,-1,-1
RZW16,$01030116,rzw16,-1,-1
RZW16L,$01010116,rzw16l,-1,-1
RZW16H,$01020116,rzw16h,-1,-1
RZW17,$01030117,rzw17,-1,-1
RZW17L,$01010117,rzw17l,-1,-1
RZW17H,$01020117,rzw17h,-1,-1
RZW18,$01030118,rzw18,-1,-1
RZW18L,$01010118,rzw18l,-1,-1
RZW18H,$01020118,rzw18h,-1,-1
RZW19,$01030119,rzw19,-1,-1
RZW19L,$01010119,rzw19l,-1,-1
RZW19H,$01020119,rzw19h,-1,-1
RZW20,$0103011a,rzw20,-1,-1
RZW20L,$0101011a,rzw20l,-1,-1
RZW20H,$0102011a,rzw20h,-1,-1
RZW21,$0103011b,rzw21,-1,-1
RZW21L,$0101011b,rzw21l,-1,-1
RZW21H,$0102011b,rzw21h,-1,-1
RZW22,$0103011c,rzw22,-1,-1
RZW22L,$0101011c,rzw22l,-1,-1
RZW22H,$0102011c,rzw22h,-1,-1
RZW23,$0103011d,rzw23,-1,-1
RZW23L,$0101011d,rzw23l,-1,-1
RZW23H,$0102011d,rzw23h,-1,-1
RZW24,$0103011e,rzw24,-1,-1
RZW24L,$0101011e,rzw24l,-1,-1
RZW24H,$0102011e,rzw24h,-1,-1
RZW25,$0103011f,rzw25,-1,-1
RZW25L,$0101011f,rzw25l,-1,-1
RZW25H,$0102011f,rzw25h,-1,-1
RZW26,$01030120,rzw26,-1,-1
RZW26L,$01010120,rzw26l,-1,-1
RZW26H,$01020120,rzw26h,-1,-1
RZW27,$01030121,rzw27,-1,-1
RZW27L,$01010121,rzw27l,-1,-1
RZW27H,$01020121,rzw27h,-1,-1
RZW28,$01030122,rzw28,-1,-1
RZW28L,$01010122,rzw28l,-1,-1
RZW28H,$01020122,rzw28h,-1,-1
RZW29,$01030123,rzw29,-1,-1
RZW29L,$01010123,rzw29l,-1,-1
RZW29H,$01020123,rzw29h,-1,-1
RZW30,$01030124,rzw30,-1,-1
RZW30L,$01010124,rzw30l,-1,-1
RZW30H,$01020124,rzw30h,-1,-1
RZW31,$01030125,rzw31,-1,-1
RZW31L,$01010125,rzw31l,-1,-1
RZW31H,$01020125,rzw31h,-1,-1
RZW32,$01030126,rzw32,-1,-1
RZW32L,$01010126,rzw32l,-1,-1
RZW32H,$01020126,rzw32h,-1,-1
RZW33,$01030127,rzw33,-1,-1
RZW33L,$01010127,rzw33l,-1,-1
RZW33H,$01020127,rzw33h,-1,-1
RZW34,$01030128,rzw34,-1,-1
RZW34L,$01010128,rzw34l,-1,-1
RZW34H,$01020128,rzw34h,-1,-1
RZW35,$01030129,rzw35,-1,-1
RZW35L,$01010129,rzw35l,-1,-1
RZW35H,$01020129,rzw35h,-1,-1
RZW36,$0103012a,rzw36,-1,-1
RZW36L,$0101012a,rzw36l,-1,-1
RZW36H,$0102012a,rzw36h,-1,-1
RZW37,$0103012b,rzw37,-1,-1
RZW37L,$0101012b,rzw37l,-1,-1
RZW37H,$0102012b,rzw37h,-1,-1
RZW38,$0103012c,rzw38,-1,-1
RZW38L,$0101012c,rzw38l,-1,-1
RZW38H,$0102012c,rzw38h,-1,-1
RZW39,$0103012d,rzw39,-1,-1
RZW39L,$0101012d,rzw39l,-1,-1
RZW39H,$0102012d,rzw39h,-1,-1
RZW40,$0103012e,rzw40,-1,-1
RZW40L,$0101012e,rzw40l,-1,-1
RZW40H,$0102012e,rzw40h,-1,-1
RZW41,$0103012f,rzw41,-1,-1
RZW41L,$0101012f,rzw41l,-1,-1
RZW41H,$0102012f,rzw41h,-1,-1
RZW42,$01030130,rzw42,-1,-1
RZW42L,$01010130,rzw42l,-1,-1
RZW42H,$01020130,rzw42h,-1,-1
RZW43,$01030131,rzw43,-1,-1
RZW43L,$01010131,rzw43l,-1,-1
RZW43H,$01020131,rzw43h,-1,-1
RZW44,$01030132,rzw44,-1,-1
RZW44L,$01010132,rzw44l,-1,-1
RZW44H,$01020132,rzw44h,-1,-1
RZW45,$01030133,rzw45,-1,-1
RZW45L,$01010133,rzw45l,-1,-1
RZW45H,$01020133,rzw45h,-1,-1
RZW46,$01030134,rzw46,-1,-1
RZW46L,$01010134,rzw46l,-1,-1
RZW46H,$01020134,rzw46h,-1,-1
RZW47,$01030135,rzw47,-1,-1
RZW47L,$01010135,rzw47l,-1,-1
RZW47H,$01020135,rzw47h,-1,-1
RZW48,$01030136,rzw48,-1,-1
RZW48L,$01010136,rzw48l,-1,-1
RZW48H,$01020136,rzw48h,-1,-1
RZW49,$01030137,rzw49,-1,-1
RZW49L,$01010137,rzw49l,-1,-1
RZW49H,$01020137,rzw49h,-1,-1
RZW50,$01030138,rzw50,-1,-1
RZW50L,$01010138,rzw50l,-1,-1
RZW50H,$01020138,rzw50h,-1,-1
RZW51,$01030139,rzw51,-1,-1
RZW51L,$01010139,rzw51l,-1,-1
RZW51H,$01020139,rzw51h,-1,-1
RZW52,$0103013a,rzw52,-1,-1
RZW52L,$0101013a,rzw52l,-1,-1
RZW52H,$0102013a,rzw52h,-1,-1
RZW53,$0103013b,rzw53,-1,-1
RZW53L,$0101013b,rzw53l,-1,-1
RZW53H,$0102013b,rzw53h,-1,-1
RZW54,$0103013c,rzw54,-1,-1
RZW54L,$0101013c,rzw54l,-1,-1
RZW54H,$0102013c,rzw54h,-1,-1
RZW55,$0103013d,rzw55,-1,-1
RZW55L,$0101013d,rzw55l,-1,-1
RZW55H,$0102013d,rzw55h,-1,-1
RZW56,$0103013e,rzw56,-1,-1
RZW56L,$0101013e,rzw56l,-1,-1
RZW56H,$0102013e,rzw56h,-1,-1
RZW57,$0103013f,rzw57,-1,-1
RZW57L,$0101013f,rzw57l,-1,-1
RZW57H,$0102013f,rzw57h,-1,-1
RZW58,$01030140,rzw58,-1,-1
RZW58L,$01010140,rzw58l,-1,-1
RZW58H,$01020140,rzw58h,-1,-1
RZW59,$01030141,rzw59,-1,-1
RZW59L,$01010141,rzw59l,-1,-1
RZW59H,$01020141,rzw59h,-1,-1
RZW60,$01030142,rzw60,-1,-1
RZW60L,$01010142,rzw60l,-1,-1
RZW60H,$01020142,rzw60h,-1,-1
RZW61,$01030143,rzw61,-1,-1
RZW61L,$01010143,rzw61l,-1,-1
RZW61H,$01020143,rzw61h,-1,-1
RZW62,$01030144,rzw62,-1,-1
RZW62L,$01010144,rzw62l,-1,-1
RZW62H,$01020144,rzw62h,-1,-1
RZW63,$01030145,rzw63,-1,-1
RZW63L,$01010145,rzw63l,-1,-1
RZW63H,$01020145,rzw63h,-1,-1
RZW64,$01030146,rzw64,-1,-1
RZW64L,$01010146,rzw64l,-1,-1
RZW64H,$01020146,rzw64h,-1,-1
RZW65,$01030147,rzw65,-1,-1
RZW65L,$01010147,rzw65l,-1,-1
RZW65H,$01020147,rzw65h,-1,-1
RZW66,$01030148,rzw66,-1,-1
RZW66L,$01010148,rzw66l,-1,-1
RZW66H,$01020148,rzw66h,-1,-1
RZW67,$01030149,rzw67,-1,-1
RZW67L,$01010149,rzw67l,-1,-1
RZW67H,$01020149,rzw67h,-1,-1
RZW68,$0103014a,rzw68,-1,-1
RZW68L,$0101014a,rzw68l,-1,-1
RZW68H,$0102014a,rzw68h,-1,-1
RZW69,$0103014b,rzw69,-1,-1
RZW69L,$0101014b,rzw69l,-1,-1
RZW69H,$0102014b,rzw69h,-1,-1
RZW70,$0103014c,rzw70,-1,-1
RZW70L,$0101014c,rzw70l,-1,-1
RZW70H,$0102014c,rzw70h,-1,-1
RZW71,$0103014d,rzw71,-1,-1
RZW71L,$0101014d,rzw71l,-1,-1
RZW71H,$0102014d,rzw71h,-1,-1
RZW72,$0103014e,rzw72,-1,-1
RZW72L,$0101014e,rzw72l,-1,-1
RZW72H,$0102014e,rzw72h,-1,-1
RZW73,$0103014f,rzw73,-1,-1
RZW73L,$0101014f,rzw73l,-1,-1
RZW73H,$0102014f,rzw73h,-1,-1
RZW74,$01030150,rzw74,-1,-1
RZW74L,$01010150,rzw74l,-1,-1
RZW74H,$01020150,rzw74h,-1,-1
RZW75,$01030151,rzw75,-1,-1
RZW75L,$01010151,rzw75l,-1,-1
RZW75H,$01020151,rzw75h,-1,-1
RZW76,$01030152,rzw76,-1,-1
RZW76L,$01010152,rzw76l,-1,-1
RZW76H,$01020152,rzw76h,-1,-1
RZW77,$01030153,rzw77,-1,-1
RZW77L,$01010153,rzw77l,-1,-1
RZW77H,$01020153,rzw77h,-1,-1
RZW78,$01030154,rzw78,-1,-1
RZW78L,$01010154,rzw78l,-1,-1
RZW78H,$01020154,rzw78h,-1,-1
RZW79,$01030155,rzw79,-1,-1
RZW79L,$01010155,rzw79l,-1,-1
RZW79H,$01020155,rzw79h,-1,-1
RZW80,$01030156,rzw80,-1,-1
RZW80L,$01010156,rzw80l,-1,-1
RZW80H,$01020156,rzw80h,-1,-1
RZW81,$01030157,rzw81,-1,-1
RZW81L,$01010157,rzw81l,-1,-1
RZW81H,$01020157,rzw81h,-1,-1
RZW82,$01030158,rzw82,-1,-1
RZW82L,$01010158,rzw82l,-1,-1
RZW82H,$01020158,rzw82h,-1,-1
RZW83,$01030159,rzw83,-1,-1
RZW83L,$01010159,rzw83l,-1,-1
RZW83H,$01020159,rzw83h,-1,-1
RZW84,$0103015a,rzw84,-1,-1
RZW84L,$0101015a,rzw84l,-1,-1
RZW84H,$0102015a,rzw84h,-1,-1
RZW85,$0103015b,rzw85,-1,-1
RZW85L,$0101015b,rzw85l,-1,-1
RZW85H,$0102015b,rzw85h,-1,-1
RZW86,$0103015c,rzw86,-1,-1
RZW86L,$0101015c,rzw86l,-1,-1
RZW86H,$0102015c,rzw86h,-1,-1
RZW87,$0103015d,rzw87,-1,-1
RZW87L,$0101015d,rzw87l,-1,-1
RZW87H,$0102015d,rzw87h,-1,-1
RZW88,$0103015e,rzw88,-1,-1
RZW88L,$0101015e,rzw88l,-1,-1
RZW88H,$0102015e,rzw88h,-1,-1
RZW89,$0103015f,rzw89,-1,-1
RZW89L,$0101015f,rzw89l,-1,-1
RZW89H,$0102015f,rzw89h,-1,-1
RZW90,$01030160,rzw90,-1,-1
RZW90L,$01010160,rzw90l,-1,-1
RZW90H,$01020160,rzw90h,-1,-1
RZW91,$01030161,rzw91,-1,-1
RZW91L,$01010161,rzw91l,-1,-1
RZW91H,$01020161,rzw91h,-1,-1
RZW92,$01030162,rzw92,-1,-1
RZW92L,$01010162,rzw92l,-1,-1
RZW92H,$01020162,rzw92h,-1,-1
RZW93,$01030163,rzw93,-1,-1
RZW93L,$01010163,rzw93l,-1,-1
RZW93H,$01020163,rzw93h,-1,-1
RZW94,$01030164,rzw94,-1,-1
RZW94L,$01010164,rzw94l,-1,-1
RZW94H,$01020164,rzw94h,-1,-1
RZW95,$01030165,rzw95,-1,-1
RZW95L,$01010165,rzw95l,-1,-1
RZW95H,$01020165,rzw95h,-1,-1
RZW96,$01030166,rzw96,-1,-1
RZW96L,$01010166,rzw96l,-1,-1
RZW96H,$01020166,rzw96h,-1,-1
RZW97,$01030167,rzw97,-1,-1
RZW97L,$01010167,rzw97l,-1,-1
RZW97H,$01020167,rzw97h,-1,-1
RZW98,$01030168,rzw98,-1,-1
RZW98L,$01010168,rzw98l,-1,-1
RZW98H,$01020168,rzw98h,-1,-1
RZW99,$01030169,rzw99,-1,-1
RZW99L,$01010169,rzw99l,-1,-1
RZW99H,$01020169,rzw99h,-1,-1
RZW100,$0103016a,rzw100,-1,-1
RZW100L,$0101016a,rzw100l,-1,-1
RZW100H,$0102016a,rzw100h,-1,-1
RZW101,$0103016b,rzw101,-1,-1
RZW101L,$0101016b,rzw101l,-1,-1
RZW101H,$0102016b,rzw101h,-1,-1
RZW102,$0103016c,rzw102,-1,-1
RZW102L,$0101016c,rzw102l,-1,-1
RZW102H,$0102016c,rzw102h,-1,-1
RZW103,$0103016d,rzw103,-1,-1
RZW103L,$0101016d,rzw103l,-1,-1
RZW103H,$0102016d,rzw103h,-1,-1
RZW104,$0103016e,rzw104,-1,-1
RZW104L,$0101016e,rzw104l,-1,-1
RZW104H,$0102016e,rzw104h,-1,-1
RZW105,$0103016f,rzw105,-1,-1
RZW105L,$0101016f,rzw105l,-1,-1
RZW105H,$0102016f,rzw105h,-1,-1
RZW106,$01030170,rzw106,-1,-1
RZW106L,$01010170,rzw106l,-1,-1
RZW106H,$01020170,rzw106h,-1,-1
RZW107,$01030171,rzw107,-1,-1
RZW107L,$01010171,rzw107l,-1,-1
RZW107H,$01020171,rzw107h,-1,-1
RZW108,$01030172,rzw108,-1,-1
RZW108L,$01010172,rzw108l,-1,-1
RZW108H,$01020172,rzw108h,-1,-1
RZW109,$01030173,rzw109,-1,-1
RZW109L,$01010173,rzw109l,-1,-1
RZW109H,$01020173,rzw109h,-1,-1
RZW110,$01030174,rzw110,-1,-1
RZW110L,$01010174,rzw110l,-1,-1
RZW110H,$01020174,rzw110h,-1,-1
RZW111,$01030175,rzw111,-1,-1
RZW111L,$01010175,rzw111l,-1,-1
RZW111H,$01020175,rzw111h,-1,-1
RZW112,$01030176,rzw112,-1,-1
RZW112L,$01010176,rzw112l,-1,-1
RZW112H,$01020176,rzw112h,-1,-1
RZW113,$01030177,rzw113,-1,-1
RZW113L,$01010177,rzw113l,-1,-1
RZW113H,$01020177,rzw113h,-1,-1
RZW114,$01030178,rzw114,-1,-1
RZW114L,$01010178,rzw114l,-1,-1
RZW114H,$01020178,rzw114h,-1,-1
RZW115,$01030179,rzw115,-1,-1
RZW115L,$01010179,rzw115l,-1,-1
RZW115H,$01020179,rzw115h,-1,-1
RZW116,$0103017a,rzw116,-1,-1
RZW116L,$0101017a,rzw116l,-1,-1
RZW116H,$0102017a,rzw116h,-1,-1
