;
; AArch64 registers
;
; layout
; <name>,<type>,<subtype>,<value>,<stdname>,<stab idx>,<dwarf idx>
D26,$04,$0a,$1A,d26,26,26
Q26,$04,$05,$1A,q26,26,26
B27,$04,$01,$1B,b27,27,27
H27,$04,$03,$1B,h27,27,27
S27,$04,$09,$1B,s27,27,27
D27,$04,$0a,$1B,d27,27,27
Q27,$04,$05,$1B,q27,27,27
B28,$04,$01,$1C,b28,28,28
H28,$04,$03,$1C,h28,28,28
S28,$04,$09,$1C,s28,28,28
D28,$04,$0a,$1C,d28,28,28
Q28,$04,$05,$1C,q28,28,28
B29,$04,$01,$1D,b29,29,29
H29,$04,$03,$1D,h29,29,29
S29,$04,$09,$1D,s29,29,29
D29,$04,$0a,$1D,d29,29,29
Q29,$04,$05,$1D,q29,29,29
B30,$04,$01,$1E,b30,30,30
H30,$04,$03,$1E,h30,30,30
S30,$04,$09,$1E,s30,30,30
D30,$04,$0a,$1E,d30,30,30
Q30,$04,$05,$1E,q30,30,30
B31,$04,$01,$1F,b31,31,31
H31,$04,$03,$1F,h31,31,31
S31,$04,$09,$1F,s31,31,31
D31,$04,$0a,$1F,d31,31,31
Q31,$04,$05,$1F,q31,31,31

NZCV,$05,$00,$00,nzcv,0,0
FPCR,$05,$00,$01,fpcr,0,0
FPSR,$05,$00,$02,fpsr,0,0
TPIDR_EL0,$05,$00,$03,tpidr_el0,0,0
